station_id,idle_vehicles,available_parking,is_open,opening_flag_today,service_type,station_lat,station_lng,station_name,status,parking_spots
2549,3.0,0.0,1.0,1,1,35.122879,137.138421,CHEF'S GARDEN OHANA豊田浄水店,0,3.0
57,0.0,1.0,1.0,1,1,35.121988,137.147907,ファミリーマート豊田浄水町原山店,0,1.0
30,0.0,133.0,1.0,1,1,35.061381,137.161,メンテナンスステーション,0,133.0
1,0.0,0.0,1.0,1,1,35.140623,137.147945,中京大学北,0,0.0
2,0.0,0.0,1.0,1,1,35.13762,137.14739,中京大学南,0,0.0
3,3.0,1.0,1.0,1,1,35.121407,137.137624,浄水駅,0,9.0
4,0.0,0.0,1.0,1,1,35.132639,137.148926,貝津駅,0,0.0
2014,3.0,0.0,1.0,1,1,35.084599,137.158981,とよしん 本店,0,3.0
9129,0.0,0.0,1.0,1,1,35.082406,137.160423,ものづくり創造拠点SENTAN,30,0.0
40,3.0,1.0,1.0,1,1,35.081315,137.158806,エコフルタウン,0,5.0
44,0.0,2.0,1.0,1,1,35.086179,137.158314,コモ・スクエア,0,2.0
9132,0.0,0.0,1.0,1,1,35.085782,137.155079,ポケットパーク,30,0.0
9131,0.0,0.0,1.0,1,1,35.086196,137.15193,商工会議所,30,0.0
17,2.0,5.0,1.0,1,1,35.088336,137.158529,喜多町Ｐ,0,7.0
9,5.0,0.0,1.0,1,1,35.082445,137.157032,市役所南庁舎,20,5.0
15,0.0,11.0,0.0,0,1,35.087628,137.154144,新豊田駅地下Ｐ,20,11.0
9130,0.0,0.0,1.0,1,1,35.089774,137.147987,毘森公園,30,0.0
7,4.0,3.0,1.0,1,1,35.086361,137.15563,豊田市駅西,0,9.0
16,7.0,0.0,1.0,1,1,35.088003,137.155048,ＴＭ若宮Ｐ,0,7.0
2015,0.0,3.0,1.0,1,1,35.051998,137.167061,とよしん トヨタ町支店,0,3.0
43,1.0,5.0,1.0,1,1,35.062534,137.15925,シンメイ前田北,0,6.0
55,2.0,2.0,1.0,1,1,35.055092,137.159397,トヨタ技術本館,0,8.0
49,0.0,3.0,1.0,1,1,35.053832,137.158315,トヨタ本社TLC,0,3.0
22,2.0,2.0,1.0,1,1,35.052727,137.159269,トヨタ本社事務,0,6.0
66,0.0,3.0,1.0,1,1,35.054094,137.154554,トヨタ本社事務3,0,3.0
41,0.0,3.0,0.0,0,1,35.054218,137.1534,トヨタ本社事務4,20,3.0
38,0.0,7.0,1.0,1,1,35.052146,137.156067,トヨタ本社南Ｐ,0,7.0
9125,0.0,5.0,1.0,1,1,35.054387,137.152995,トヨタ本社第2立駐,0,5.0
20,0.0,1.0,1.0,1,1,35.056761,137.175108,トヨタ記念病院,0,2.0
42,2.0,3.0,1.0,1,1,35.040676,137.184311,フォレスタヒルズ,0,5.0
28,2.0,4.0,1.0,1,1,35.074219,137.12733,トヨタ元町正門北,0,7.0
61,1.0,1.0,1.0,1,1,35.082759,137.139185,ファミリーマート豊田三軒町店,0,2.0
2010,1.0,3.0,1.0,1,1,35.08603,137.136509,メイド―東,0,4.0
47,0.0,2.0,1.0,1,1,35.083134,137.135388,㈱アイサク,0,2.0
46,1.0,0.0,1.0,1,1,35.067786,137.140172,住友ゴム工業㈱名古屋工場,0,1.0
2008,4.0,8.0,1.0,1,1,35.057544,137.129443,土橋駅南,0,13.0
11,2.0,1.0,1.0,1,1,35.083198,137.148168,市民文化会館,20,3.0
48,0.0,2.0,1.0,1,1,35.05081,137.136505,曙ブレーキ工業株式会社,0,2.0
9118,2.0,2.0,1.0,1,1,35.075104,137.122273,柿本,0,4.0
10,0.0,5.0,1.0,1,1,35.078953,137.149495,豊田市美術館,20,5.0
51,2.0,1.0,1.0,1,1,35.08524,137.190307,サンクス豊田渋谷店,0,3.0
13,3.0,4.0,1.0,1,1,35.080303,137.163341,スカイホール,20,7.0
60,1.0,1.0,1.0,1,1,35.074338,137.17971,ファミリーマート御立店,0,2.0
1030,0.0,2.0,1.0,1,1,35.074675,137.192045,メグリア志賀店,20,2.0
69,0.0,3.0,1.0,1,1,35.078463,137.180511,美里交流館,0,3.0
14,0.0,5.0,1.0,1,1,35.082415,137.169013,豊田スタジアム,20,5.0
9128,0.0,0.0,1.0,1,1,35.089073,137.188043,高橋支所,30,0.0
2011,0.0,3.0,1.0,1,1,35.132225,137.159948,トヨタ紡織猿投工場,0,3.0
2016,1.0,2.0,1.0,1,1,35.11607,137.170769,トヨタ花本,0,3.0
59,0.0,2.0,1.0,1,1,35.123606,137.178631,ファミリーマート豊田井上店,0,2.0
58,1.0,0.0,1.0,1,1,35.117972,137.181456,ファミリーマート豊田青木町店,0,1.0
2507,1.0,2.0,1.0,1,1,35.1244,137.170362,猿投コミュニティセンター,0,3.0
9121,1.0,1.0,1.0,1,1,35.05058,137.14004,すまいる館,0,2.0
67,0.0,2.0,1.0,1,1,35.062665,137.142126,サークルＫ豊田緑ヶ丘店,0,2.0
65,1.0,0.0,1.0,1,1,35.071852,137.151837,パレスイン豊田 新上挙母,0,2.0
1029,1.0,1.0,1.0,1,1,35.037549,137.138913,メグリア永覚店,20,2.0
2013,0.0,3.0,1.0,1,1,35.055065,137.149279,三井住友海上豊田ビル,0,3.0
37,2.0,8.0,1.0,1,1,35.058256,137.1499,三河豊田駅北,0,10.0
19,2.0,2.0,1.0,1,1,35.072307,137.154785,上挙母駅,0,4.0
70,2.0,0.0,1.0,1,1,35.061174,137.145995,丸山区民会館,0,2.0
71,0.0,0.0,1.0,1,1,35.053022,137.148625,御幸本町区会館,30,0.0
68,1.0,1.0,1.0,1,1,35.109331,137.16633,ファミリーマート豊田京町店,0,2.0
64,2.0,2.0,1.0,1,1,35.107996,137.153393,地域医療センター前,0,4.0
45,2.0,0.0,1.0,1,1,35.099996,137.163072,梅坪駅,0,2.0
